,precision,recall,f1-score,support
Biodegradable,0.33076923076923076,0.33076923076923076,0.33076923076923076,130.0
Recyclable,0.3106060606060606,0.3153846153846154,0.31297709923664124,130.0
Trash,0.328125,0.3230769230769231,0.3255813953488373,130.0
accuracy,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231
macro avg,0.3231667637917638,0.32307692307692304,0.3231092417849031,390.0
weighted avg,0.3231667637917638,0.3230769230769231,0.32310924178490313,390.0
